SampleID	SeqProject	LCSETMax	ReadgroupsAggregated	GENDER	ANCESTRY	SeqTech	LibTech	Mean_Coverage	Contamination_Estimation	Percent_Chimeric_Reads	Median_Insert_Size	Standard_Deviation_Insert_Size	Percent_lt_30bp_frags	nEvalVariants	novelSites	nVariantsAtComp	nInsertions	nDeletions	InsDelRatio	nSingletons	nHets	nHomRef	nHomVar	HetHomeRatio	nTi	nTv	TiTvRatio	index	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	inferredAncestry	nEvalVariantsZscore	novelSitesZscore	nVariantsAtCompZscore	nInsertionsZscore	nDeletionsZscore	InsDelRatioZscore	nSingletonsZscore	nHetsZscore	nHomRefZscore	nHomVarZscore	HetHomeRatioZscore	nTiZscore	nTvZscore	TiTvRatioZscore	ANCESTRY-SeqTech	maxVcfzscore	flaggedReason
Sample-001	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	39.771	0	0.006817	365	81.327	0.0055984	3849129	349460	3499669	179803	211408	0.85	12897	2423976	34593271	1425153	1.7	1961937	1047296	1.87	1	0.02	0.0073	-0.0057	-0.0199	-0.0182	0.0034	0.0233	-0.0491	-0.0042	0.027	0.0132	0.0107	-0.0042	-0.0397	-5e-04	0.0394	0.0108	-0.0296	-0.0118	-0.0216	EUR	0.048	0.233	0.113	0.245	0.143	NA	0.852	0.389	0.104	0.665	0.54	0.536	0.395	NA	White-HiSeq2000	NA	
Sample-002	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE	40.097	0	0.003682	345	68.687	0.0064346	3815534	334143	3481391	178521	210833	0.85	13763	2440755	34621095	1374779	1.78	1962590	1044838	1.88	2	0.0184	0.0085	-0.0055	-0.0122	0.0241	0.0206	0.0317	-0.013	-0.0233	0.024	0.0229	-0.0652	0.023	0.0244	0.0116	-0.0018	-0.0093	0.0177	0.0234	-0.0128	EUR	1.112	2.179	0.824	1.003	0.486	NA	0.189	0.057	1.156	1.199	0.54	0.493	0.674	Inf	White-HiSeq2000	NA	TiTvRatioZscore>=4,
Sample-003	G66919	LCSET-5036	3	Male	African American	HiSeq2000	SAGE	40.846	0	0.005409	353	75.93	0.0065993	4471107	415767	4055340	204906	249536	0.82	50084	3052977	33959285	1418130	2.15	2334836	1232177	1.89	3	-0.0318	0.02	0.001	-0.0017	-0.0011	0.0027	-0.0195	-0.0279	-0.0142	0.0175	-0.0092	-0.0112	-0.037	-0.0118	-0.0054	-0.0124	-0.0049	0.0195	0.0147	0.0202	AFR	0.45	0.287	0.367	0.486	0.403	0	0.118	0.693	0.316	1.018	0.495	0.259	0.374	NA	African American-HiSeq2000	NA	
Sample-004	G66919	LCSET-5036	3	Male	African American	HiSeq2000	SAGE	29.423	0	0.005704	341	87.434	0.0520538	4322699	393749	3928950	198618	240438	0.83	45329	2894440	34101318	1428259	2.03	2250662	1188404	1.89	4	-0.0247	0.0144	0.0012	-0.0174	0.0143	0.0017	-0.0025	0.0111	-0.0078	0.0082	-0.0032	0.018	0.0096	-0.0373	-0.0118	0.0085	-0.0022	-0.0231	0.0154	0.027	AFR	1.713	0.993	1.66	1.84	1.443	1.349	0.753	1.931	1.529	0.023	1.574	1.773	1.89	NA	African American-HiSeq2000	NA	Percent_lt_30bp_frags>=0.01,
Sample-005	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	42.422	0	0.00453	359	85.617	0.0072877	3845876	343293	3502583	179544	209947	0.86	13121	2422755	34595799	1423121	1.7	1967284	1050950	1.87	5	0.0168	0.0105	-0.0015	-0.0125	-0.0344	0.0353	0.0159	0.0141	-0.0181	0.0304	-0.0275	0.0236	-0.0053	-0.023	0.0244	0.0467	0.0236	0.0307	0.0249	-0.0023	EUR	0.151	1.017	0	0.398	1.014	Inf	0.681	0.413	0.199	0.59	0.54	0.182	0.02	NA	White-HiSeq2000	NA	InsDelRatioZscore>=4,
Sample-006	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE	41.381	0	0.003586	345	72.598	0.0056361	3822538	336991	3485547	178618	211542	0.84	14816	2427692	34622357	1394846	1.74	1960315	1044733	1.88	6	0.0186	0.0041	-0.0081	-0.0751	0.029	0.0229	-0.0211	0.0115	0.0063	0.0487	-0.0185	-0.0409	0.0247	0.0021	-0.0129	-0.013	-0.005	-0.0092	0.0118	0.0285	EUR	0.89	1.817	0.663	0.946	0.063	Inf	0.617	0.315	1.203	0.457	0	0.643	0.686	Inf	White-HiSeq2000	Inf	TiTvRatioZscore>=4,InsDelRatioZscore>=4,
Sample-007	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	43.119	0	0.005031	355	75.531	0.0063857	3790689	334898	3455791	177930	206486	0.86	13229	2373956	34640120	1416733	1.68	1944108	1035546	1.88	7	0.0193	0.0097	-0.0103	-0.0055	-0.0247	0.0157	-0.062	-0.0347	0.0188	-0.0068	-0.0029	0.0054	-0.0209	-0.039	-0.0014	0.0088	0.0132	-1e-04	-0.0035	0.0129	EUR	1.898	2.083	1.82	1.353	3.076	Inf	0.598	1.379	1.875	0.353	0.809	1.717	1.731	Inf	White-HiSeq2000	Inf	TiTvRatioZscore>=4,InsDelRatioZscore>=4,
Sample-008	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	40.804	0	0.005796	361	74.739	0.0061761	3835222	345614	3489608	179600	210753	0.85	12854	2411804	34612691	1423418	1.69	1959828	1045843	1.87	8	0.0183	0.0088	-0.0104	5e-04	-0.0144	0.0459	0.0341	-0.0382	-0.0213	0.0079	0.0315	-0.02	0.0218	0.0123	-0.0139	0.0313	0.0246	-0.0062	-0.0329	-0.0135	EUR	0.489	0.722	0.505	0.365	0.533	NA	0.885	0.63	0.838	0.601	0.674	0.675	0.56	NA	White-HiSeq2000	NA	
Sample-009	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE	44.677	0	0.004832	344	53.272	0.0059057	3875078	355542	3519536	181325	212496	0.85	15414	2485966	34573880	1389112	1.79	1974180	1056028	1.87	9	0.0192	0.0125	3e-04	0.0174	0.0156	0.0405	-0.0413	-0.0237	5e-04	1e-04	-0.0377	-0.051	0.007	0.004	0.0133	0.0225	0.0037	-0.0246	0.0067	-0.0028	EUR	0.773	0.54	0.659	0.654	0.505	NA	1.075	0.838	0.629	0.669	0.674	0.275	0.598	NA	White-HiSeq2000	NA	
Sample-010	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	38.604	0.00383	0.009032	365	56.442	0.0068505	3898966	370695	3528271	183038	215392	0.85	22611	2480728	34544288	1418238	1.75	1978199	1057880	1.87	10	0.0153	0.0085	-0.0188	0.049	-0.0434	0.0033	0.0042	0.0499	0.01	-0.0214	0.051	-0.0284	-0.0102	0.0278	0.0171	-0.0147	0.0285	-0.0393	-0.0288	0.0169	EUR	1.529	2.465	0.999	1.667	2.231	NA	6.585	0.734	1.748	0.409	0.135	0.542	0.808	NA	White-HiSeq2000	NA	nSingletonsZscore>=4,
